Format (See below)
DateTime,PictureIndex,PupilDiameter(L),PupilDiameter(R)
10/10/18 22:52:14.122,1,4.118304  4.389509 
10/10/18 22:52:14.251,1,4.058036  4.299107 
10/10/18 22:52:14.385,1,4.058036  4.309152 
10/10/18 22:52:14.483,1,4.007812  4.349330 
10/10/18 22:52:14.547,1,4.007812  4.299107 
10/10/18 22:52:14.882,1,4.108259  4.389509 
10/10/18 22:52:14.948,1,4.108259  4.479911 
10/10/18 22:52:15.317,1,4.248884  4.500000 
10/10/18 22:52:15.379,1,4.349330  4.530134 
10/10/18 22:52:15.416,1,4.339286  4.540179 
10/10/18 22:52:15.696,1,4.248884  4.650670 
10/10/18 22:52:16.020,2,4.309152  4.660714 
10/10/18 22:52:28.620,2,3.786830  3.937500 
10/10/18 22:52:28.746,2,3.816964  4.017857 
10/10/18 22:52:28.944,2,3.847098  4.078125 
10/10/18 22:52:29.048,2,3.867188  4.047991 
10/10/18 22:52:29.107,2,3.947545  4.158482 
10/10/18 22:52:29.217,2,3.937500  4.218750 
10/10/18 22:52:29.413,2,3.897321  4.208705 
10/10/18 22:52:29.573,2,3.997768  4.248884 
10/10/18 22:52:29.742,2,4.098214  4.299107 
10/10/18 22:52:29.806,2,4.078125  4.359375 
10/10/18 22:52:29.983,2,4.168527  4.349330 
10/10/18 22:52:30.075,2,4.218750  4.369420 
10/10/18 22:52:30.147,2,4.218750  4.359375 
10/10/18 22:52:30.249,2,4.238839  4.389509 
10/10/18 22:52:30.304,2,4.208705  4.429688 
10/10/18 22:52:30.516,2,4.228795  4.449777 
10/10/18 22:52:30.610,2,4.258929  4.339286 
10/10/18 22:52:30.713,2,4.279018  4.429688 
10/10/18 22:52:30.876,2,4.198661  4.429688 
10/10/18 22:52:31.096,2,4.017857  4.238839 
10/10/18 22:52:31.147,2,4.098214  4.248884 
10/10/18 22:52:31.514,2,3.907366  4.118304 
10/10/18 22:52:31.609,2,4.068080  4.228795 
10/10/18 22:52:31.747,2,4.128348  4.299107 
10/10/18 22:52:31.945,2,4.198661  4.359375 
10/10/18 22:52:31.973,2,4.198661  4.359375 
10/10/18 22:52:32.099,2,4.248884  4.379464 
10/10/18 22:52:32.117,2,4.248884  4.379464 
10/10/18 22:52:32.243,2,4.238839  4.349330 
10/10/18 22:52:32.281,2,4.289063  4.379464 
10/10/18 22:52:32.455,2,4.258929  4.379464 
10/10/18 22:52:32.619,2,4.268973  4.409598 
10/10/18 22:52:32.882,2,4.208705  4.469866 
10/10/18 22:52:33.013,2,4.178571  4.429688 
10/10/18 22:52:33.249,2,4.218750  4.339286 
10/10/18 22:52:33.483,2,1.569196  4.389509 
10/10/18 22:52:33.584,2,1.569196  4.389509 
10/10/18 22:52:33.821,2,-1.000000  4.600446 
10/10/18 22:52:33.887,2,-1.000000  4.600446 
10/10/18 22:52:33.950,2,-1.000000  4.660714 
10/10/18 22:52:34.044,2,-1.000000  4.630580 
10/10/18 22:52:34.284,2,1.458705  4.459821  
10/10/18 22:52:34.460,2,1.458705  4.459821  
10/10/18 22:52:34.617,2,-1.000000  1.770089 
10/10/18 22:52:34.775,2,1.348214  1.860491  
10/10/18 22:52:34.915,2,1.348214  4.319196  
10/10/18 22:52:35.087,2,3.867188  4.299107  
10/10/18 22:52:35.216,2,3.847098  4.289063  
10/10/18 22:52:35.315,2,3.887277  4.258929  
10/10/18 22:52:35.530,2,4.339286  4.520089  
10/10/18 22:52:35.655,2,4.198661  4.439732  
