403,0.158
405,0.231
409,0.644
407,0.359
403,0.342
411,0.395
411,0.462
408,0.53
402,0.225
409,0.666
404,0.71
391,0.354
390,0.601
391,0.558
390,0.255
390,0.587
390,0.492
392,0.567
389,0.63
388,0.599
400,0.416
394,0.27
380,0.485
390,0.379
387,0.525
388,0.475
386,0.846
379,0.429
376,0.428
380,0.247
378,0.441
390,0.711
384,0.436
378,0.677
385,0.635
385,0.509
375,0.19
377,0.369
358,0.244
388,0.649
375,0.539
395,0.691
381,0.575
390,0.749
400,0.739
395,0.514
405,0.765
400,0.201
396,0.803
385,0.494
391,0.509
382,0.436
384,0.721
396,0.742
402,0.296
396,0.58
404,0.304
407,0.312
418,0.445
415,0.547
422,0.558
425,0.565
421,0.434
415,0.504
416,0.563
414,0.681
380,0.614
407,0.383
402,0.26
405,0.679
