Format (See below)
PicIndex,31,32,35,36,37,38,19,20,41,42,61,62,59,60,53,54,5,4,3,PupilDiameter,Illuminance
1,3.564721E+002,3.569842E+002,2.126418E+002,2.132016E+002,-3.434803E+002,3.437718E+002,1.006564E+003,1.024000E+003,4.716395E+002,4.790246E+002,5.307035E+002,5.327852E+002,3.099224E+003,3.071017E+003,5.320169E+002,-4.919831E+002,1.501621E+003,6.154450E+002,8.861762E+002,1,3.564721E+002,3.569842E+002,2.126418E+002,2.132016E+002,-3.434803E+002,3.437718E+002,1.006564E+003,1.024000E+003,4.716395E+002,4.790246E+002,5.307035E+002,5.327852E+002,3.099224E+003,3.071017E+003,5.320169E+002,-4.919831E+002,1.501621E+003,6.154450E+002,8.861762E+002,;(off,off);,106.85975

1,3.409751E+002,3.488521E+002,2.099901E+002,2.117621E+002,-3.347244E+002,3.412867E+002,1.000630E+003,1.024000E+003,4.786859E+002,4.915604E+002,5.297314E+002,5.329803E+002,3.129711E+003,3.114438E+003,5.370046E+002,-4.869954E+002,1.530662E+003,6.161205E+002,9.145418E+002,1,3.409751E+002,3.488521E+002,2.099901E+002,2.117621E+002,-3.347244E+002,3.412867E+002,1.000630E+003,1.024000E+003,4.786859E+002,4.915604E+002,5.297314E+002,5.329803E+002,3.129711E+003,3.114438E+003,5.370046E+002,-4.869954E+002,1.530662E+003,6.161205E+002,9.145418E+002,;(off,off);,106.9789

1,3.736417E+002,3.802012E+002,2.139906E+002,2.139652E+002,-3.531833E+002,3.542306E+002,1.041643E+003,1.024000E+003,4.885351E+002,4.893804E+002,5.347298E+002,5.303018E+002,3.156905E+003,3.100030E+003,5.356748E+002,-4.883252E+002,1.532240E+003,6.159905E+002,9.162496E+002,1,3.736417E+002,3.802012E+002,2.139906E+002,2.139652E+002,-3.531833E+002,3.542306E+002,1.041643E+003,1.024000E+003,4.885351E+002,4.893804E+002,5.347298E+002,5.303018E+002,3.156905E+003,3.100030E+003,5.356748E+002,-4.883252E+002,1.532240E+003,6.159905E+002,9.162496E+002,;(off,off);,107.7163

1,3.757868E+002,3.830978E+002,2.135258E+002,2.147349E+002,-3.533416E+002,3.558326E+002,1.010033E+003,1.024000E+003,4.903740E+002,4.941483E+002,5.341786E+002,5.333612E+002,3.160415E+003,3.119424E+003,5.332320E+002,-4.907680E+002,1.506183E+003,6.178799E+002,8.883029E+002,1,3.757868E+002,3.830978E+002,2.135258E+002,2.147349E+002,-3.533416E+002,3.558326E+002,1.010033E+003,1.024000E+003,4.903740E+002,4.941483E+002,5.341786E+002,5.333612E+002,3.160415E+003,3.119424E+003,5.332320E+002,-4.907680E+002,1.506183E+003,6.178799E+002,8.883029E+002,;(off,off);,108.3564

1,3.487570E+002,3.553890E+002,2.105252E+002,2.122972E+002,-3.385664E+002,3.438221E+002,9.918150E+002,1.024000E+003,4.916968E+002,4.941556E+002,5.318195E+002,5.336482E+002,3.170695E+003,3.125864E+003,5.270747E+002,-4.969253E+002,1.540055E+003,6.155639E+002,9.244912E+002,1,3.487570E+002,3.553890E+002,2.105252E+002,2.122972E+002,-3.385664E+002,3.438221E+002,9.918150E+002,1.024000E+003,4.916968E+002,4.941556E+002,5.318195E+002,5.336482E+002,3.170695E+003,3.125864E+003,5.270747E+002,-4.969253E+002,1.540055E+003,6.155639E+002,9.244912E+002,;(off,off);,108.68615

1,3.474022E+002,3.529299E+002,2.106233E+002,2.102430E+002,-3.390861E+002,3.417555E+002,1.036015E+003,1.024000E+003,4.983440E+002,4.920210E+002,5.333340E+002,5.290930E+002,3.173952E+003,3.122088E+003,5.195913E+002,-5.044087E+002,1.534700E+003,6.165194E+002,9.181801E+002,1,3.474022E+002,3.529299E+002,2.106233E+002,2.102430E+002,-3.390861E+002,3.417555E+002,1.036015E+003,1.024000E+003,4.983440E+002,4.920210E+002,5.333340E+002,5.290930E+002,3.173952E+003,3.122088E+003,5.195913E+002,-5.044087E+002,1.534700E+003,6.165194E+002,9.181801E+002,;(off,off);,108.87615

